coreid,aff_total,coresex,coreprefyr,Degree,Major,fy14,donor
628,13,M,1997,MS,Communications,3195.77,1
629,23,M,1989,BBA,Business General,150,1
630,1,F,1988,BS,Art,20,1
631,3,F,2001,MPAS,Physician Assistant Studies,100,1
632,5,F,1989,BS,Health Science,20,1
633,1,F,2002,BS,Sociology,50,1
634,2,M,1999,BS,Health Science,50,1
635,3,M,2006,BS,Physical Education,40,1
636,7,M,1991,MED,Special Education,40,1
637,8,M,1992,BS,Natural Resource Management,25,1
638,15,M,1993,MBA,Business General,150,1
639,14,M,1994,MED,General Education,1e3,1
640,6,M,1997,BS,Health Science,100,1
641,2,F,1993,BBA,Management,25,1
642,35,M,2002,BBA,Business General,2250,1
643,2,F,1994,BS,Psychology,10,1
644,2,F,2000,BS,Psychology,25,1
645,14,F,1999,MED,General Education,450,1
646,19,M,1994,BBA,Finance,1200,1
647,5,M,1995,BBA,Accounting,5e3,1
648,8,M,1993,BS,Broadcasting,100,1
649,6,M,2002,BBA,Finance,500,1
650,12,M,1999,BS,Occup Safety/Health Management,150,1
651,21,F,2001,BS,Biomedical Sciences,1390,1
652,19,F,1997,BS,Biology,50,1
653,7,M,2000,BBA,Marketing,20,1
654,2,F,1998,MPAS,Physician Assistant Studies,1e3,1
655,7,F,2000,MED,General Education,50,1
656,8,F,1993,MS,Physical Therapy,75,1
657,6,M,1999,BS,Information Systems,25,1
658,5,F,2001,BS,GRO Social Studies,100,1
659,8,F,2007,BBA,Finance,150,1
660,10,F,1984,MED,General Education,300,1
661,16,F,1980,MED,General Education,500,1
662,10,F,1982,MPA,Public Administration,2500,1
663,61,F,1977,MED,General Education,600,1
664,2,F,1974,BS,GRP SS Hist,100,1
665,3,F,1979,BS,Art,25,1
666,9,F,1993,MED,General Education,50,1
667,7,F,1998,MED,General Education,75,1
668,9,M,1980,BME,Music,100,1
669,5,F,2003,MED,General Education,50,1
670,12,M,1982,BS,Computer Science,500,1
671,7,F,1987,MED,General Education,50,1
672,64,M,1975,MBA,Business General,80,1
673,6,F,1986,BBA,Accounting,100,1
674,1,F,1980,BBA,Business General,50,1
675,3,F,1987,MED,Special Education,35,1
676,16,M,1978,BS,History,150,1
677,3,M,1986,MST,Taxation,1e3,1
678,10,M,1978,BS,Sociology,100,1
679,10,M,1980,BS,Geology,100,1
680,11,M,1992,MBA,Marketing,1e3,1
681,7,F,1987,BBA,Management,150,1
682,5,F,1982,BS,Art,25,1
683,27,F,1979,BS,Group SS Soc,600,1
684,15,M,1978,BS,Group SS Soc,300,1
685,8,M,1978,BS,Biology,35,1
686,50,M,1992,BBA,Marketing,150,1
687,28,F,1979,MSN,Nursing,250,1
688,12,F,2008,MED,General Education,35,1
689,6,F,1997,BS,Biology,25,1
690,4,F,1978,BS,Nursing,100,1
691,10,M,1994,MST,Taxation,125,1
692,11,F,1995,BS,Biology,50,1
693,6,M,1990,BS,Criminal Justice,100,1
694,4,F,1996,BBA,Marketing,25,1
695,7,F,1983,BBA,Marketing,50,1
696,2,F,1983,BBA,Accounting,500,1
697,3,F,1997,BA,Political Science,100,1
698,9,M,1986,BS,Biology,50,1
699,137,F,2001,MED,General Education,725,1
700,3,M,1987,BS,Criminal Justice,25,1
701,9,M,2004,BBA,Marketing,50,1
702,7,F,2002,MED,General Education,50,1
703,13,F,2006,MED,General Education,830,1
704,3,F,2013,BA,International Relations,5,1
705,9,F,1986,BS,Geology,100,1
706,10,F,2001,BBA,Management,50,1
707,67,F,2002,MBA,Business General,300,1
708,16,F,1995,BS,Biomedical Sciences,100,1
709,7,F,1990,BA,Biology,250,1
710,8,F,1994,BS,Natural Resource Management,25,1
711,8,F,1989,BS,Advertising & Public Relations,1e3,1
712,6,M,2001,BBA,Marketing,476.67,1
713,29,M,1998,BS,Computer Science,500,1
714,8,F,1998,BSN,Nursing,150,1
715,5,F,2003,BS,Group Science,200,1
716,1,M,2002,BBA,Business Economics,25,1
717,7,M,2004,MED,General Education,25,1
718,12,F,2000,DPT,Physical Therapy,100,1
719,28,F,2003,MED,General Education,300,1
720,13,M,1998,BS,Physical Education,300,1
721,7,F,1995,EDS,Leadership,300,1
722,3,M,1998,BS,Physical Education,300,1
723,6,F,1998,BSN,Nursing,25,1
724,2,M,2002,BS,Film and Video,100,1
725,2,M,2007,BSE,Engineering,125,1
726,16,M,1973,MS,Urban Education,50,1
727,57,M,1980,MBA,Finance,600,1
728,5,F,1998,PMCE,NA,40,1
729,13,F,1995,BSN,Nursing - RN,1,1
730,9,F,1998,MPA,Public Administration,250,1
731,5,M,1989,BBA,Management,150,1
732,8,M,1977,BS,Biology,400,1
733,22,M,1974,MED,General Education,5,1
734,5,M,1979,BS,Environmental Studies,100,1
735,7,M,1977,BS,Physical Education,100,1
736,17,F,1981,MBA,Business General,25,1
737,6,F,1975,BS,Group SS Soc,196,1
738,9,F,1984,BBA,Business General,160,1
739,15,F,1982,BBA,Marketing,500,1
740,2,M,1978,BBA,Business General,50,1
741,7,M,1997,MBA,Business General,100,1
742,11,F,1988,BS,Physical Therapy,200,1
743,6,M,1996,BA,Sociology,50,1
744,14,F,1987,BFA,Art,165,1
745,1,M,1981,BS,Biology,100,1
746,3,F,1998,BSN,Nursing,150,1
747,7,M,1982,BS,Economics,15e3,1
748,1,M,1999,BSE,Engineering,50,1
749,8,M,2003,MBA,Business General,500,1
750,20,F,2000,BBA,Accounting,500,1
751,3,F,1995,BS,Biomedical Sciences,50,1
752,4,F,1989,BS,Physical Therapy,25,1
753,5,M,1994,BS,Psychology,50,1
754,13,F,2001,BBA,Marketing,100,1
755,25,M,2000,BS,Film and Video,350,1
756,7,F,2003,BBA,Accounting,1e3,1
757,8,F,1999,BS,Biology,50,1
758,4,F,2000,MPA,Public Administration,50,1
759,41,F,1988,MED,Special Education,200,1
760,5,F,1998,BS,Health Science,50,1
761,9,F,1995,BS,Biology,100,1
762,6,F,2001,MS,Physical Therapy,25,1
763,7,M,1995,MED,General Education,50,1
764,12,M,2004,BS,Photography,75,1
765,7,M,1994,BS,Political Science,100,1
766,4,F,1996,BS,Physical Education,25,1
767,8,F,2000,BS,Film and Video,25,1
768,9,M,2005,BS,Physical Education,300,1
769,45,M,2000,BS,Computer Science,45,1
770,11,F,2006,BA,Public Administration,500,1
771,6,M,1981,MST,Taxation,75,1
772,6,M,1980,MBA,Accounting,50,1
773,17,F,1979,BS,Physical Education,300,1
774,12,M,1980,BAS,Industrial Technology,10,1
775,26,M,1979,BPH,Environmental Studies,5e3,1
776,10,F,1981,BA,Spanish,25,1
777,20,M,1976,MED,Reading,500,1
778,12,M,1984,BBA,Finance,300,1
779,3,M,1983,BS,Legal Administration,50,1
780,11,M,1992,BS,Industrial Technology,75,1
781,10,F,1977,BS,Sociology,150,1
782,13,M,1991,BBA,Accounting,100,1
783,17,F,1990,MSN,Nursing,25,1
784,2,F,1977,BS,Nursing,50,1
785,5,M,1978,BS,Sociology,80,1
786,25,M,1979,BBA,Business General,630,1
787,49,F,1999,MPA,Public Administration,83.36,1
788,14,F,1992,BFA,Art,100,1
789,6,F,2001,MSW,Social Work,50,1
790,7,F,1994,BSN,Nursing - RN,25,1
791,34,F,1997,MSN,Nursing,45,1
792,19,M,1991,BFA,Art,250,1
793,15,M,2000,MBA,Business General,50,1
794,1,F,1989,MED,Special Education,75,1
795,1,F,1980,BS,Special Education,200,1
796,5,F,1990,BS,Legal Studies,75,1
797,7,F,1982,BBA,Finance,150,1
798,3,M,1988,BS,Hospitality Tourism Mgt,150,1
799,13,M,1988,BBA,Finance,2100,1
800,2,F,1998,MS,Occupational Therapy,75,1
801,2,F,1998,BS,History,120,1
802,11,F,2005,MS,Communications,40,1
803,10,F,1992,BS,Broadcasting,100,1
804,12,F,2000,MS,Physical Therapy,15,1
805,5,M,1993,BS,Physical Education,125,1
806,9,F,1997,MS,Physical Therapy,25,1
807,3,M,1995,MED,Reading,50,1
808,12,M,1990,BS,Computer Science,300,1
809,15,F,1991,BBA,Accounting,300,1
810,5,M,1997,BBA,Accounting,500,1
811,13,M,1998,MPA,Public Administration,1050,1
812,8,F,1991,BS,Physical Therapy,150,1
813,8,F,2003,MSW,Social Work,25,1
814,10,F,1992,BBA,Management,25,1
815,25,M,1996,MED,General Education,50,1
816,7,F,1996,MED,General Education,50,1
817,6,F,1998,BS,Biomedical Sciences,200,1
818,3,F,2000,BA,English Language and Literature,25,1
819,9,M,2004,BBA,Finance,50,1
820,12,F,1997,MSW,Social Work,500,1
821,67,F,2002,MBA,Business General,350,1
822,3,M,2000,MBA,Business General,100,1
823,18,F,1983,MA,Reading,3500,1
824,21,F,1979,BSN,Nursing,660,1
825,11,M,1975,MBA,Finance,1e3,1
826,4,F,1993,BA,GRO Soc Science,2500,1
827,8,F,1975,BS,Social Relations,75,1
828,1,M,1998,MBA,Business General,15,1
829,21,M,1979,BBA,Business General,600,1
830,4,M,1997,MS,Biostatistics,20,1
831,10,F,2003,MBA,Business General,50,1
832,7,M,1994,MBA,Business General,1e3,1
833,20,M,2000,MS,Communications,75,1
834,7,M,1991,MSW,Social Work,53,1
835,14,M,1993,BBA,Accounting,500,1
836,6,F,1988,BBA,Marketing,100,1
837,6,F,1994,MPA,Public Administration,100,1
838,2,M,1996,BA,Advertising & Public Relations,50,1
839,4,F,1993,BA,English Language and Literature,20,1
840,8,F,1989,BS,Physical Therapy,100,1
841,13,M,2006,MED,General Education,150,1
842,9,F,2001,MED,General Education,100,1
843,4,F,1999,MED,School Counseling,50,1
844,8,M,1996,BS,Natural Resource Management,25,1
845,5,F,2004,BS,Clinical Laboratory Sciences,50,1
846,1,M,1999,BBA,Accounting,200,1
847,23,M,2003,MED,General Education,1050,1
848,25,M,2002,BBA,Finance,1330,1
849,9,F,2000,BS,Sociology,50,1
850,2,F,1998,MSW,Social Work,15,1
851,78,F,2007,MPA,Public Administration,260,1
852,4,M,1995,MBA,Management,100,1
853,60,M,1991,BA,Communications,510,1
854,9,M,1981,MBA,Management,60,1
855,9,M,1976,BS,Public Administration,100,1
856,5,M,1988,BA,Music,14.43,1
857,8,F,1979,BS,Nursing,100,1
858,7,M,1989,BS,Mathematics,150,1
859,16,F,1990,BS,GRO Soc Science,50,1
860,4,F,1978,BSN,Nursing,25,1
861,17,M,1977,BS,Criminal Justice,300,1
862,17,F,2000,MBA,Business General,250,1
863,7,F,2002,MSN,Nursing,75,1
864,9,F,1989,BBA,Marketing,50,1
865,7,M,1993,BS,Physical Education,400,1
866,21,M,1988,BBA,Accounting,1e3,1
867,6,F,1985,BBA,Management,100,1
868,11,M,1991,BS,Biology,150,1
869,3,F,2003,BBA,Business Economics,25,1
870,10,F,1989,BBA,Finance,1100,1
871,5,M,2001,BS,Criminal Justice,50,1
872,1,M,1998,BS,Biomedical Sciences,150,1
873,4,F,1996,MED,Reading,250,1
874,13,M,2003,BBA,Finance,100,1
875,7,F,2000,BA,Spanish,100,1
876,3,M,2005,BS,Criminal Justice,25,1
877,1,F,1999,BS,Criminal Justice,50,1
878,3,M,2002,BS,Psychology,50,1
879,4,F,1994,BA,English Language and Literature,20,1
880,6,F,1991,BS,Criminal Justice,50,1
881,15,M,1993,BBA,Finance,100,1
882,11,F,1992,MS,Physical Therapy,25,1
883,14,F,2000,BS,Physical Education,150,1
884,3,M,2003,BS,Computer Science,300,1
885,4,M,1999,BSE,Engineering,1e3,1
886,4,F,1999,BA,Spanish,25,1
887,2,F,2003,BS,Sociology,50,1
888,31,F,2000,BA,Advertising & Public Relations,10,1
889,10,M,2002,MSA,Accounting,400,1
890,16,F,2002,BS,Legal Studies,50,1
891,5,M,2000,MED,General Education,25,1
892,0,M,1984,MST,Taxation,500,1
893,14,F,1991,BS,Computer Science,100,1
894,8,F,1985,BBA,Business General,50,1
895,10,F,1975,MED,Biology,400,1
896,15,F,1991,MBA,Business General,150,1
897,9,F,1989,BS,Sociology,1e4,1
898,11,F,1990,BSW,Social Work,50,1
899,3,F,1982,MS,Health Science,50,1
900,24,F,1997,BA,History,20,1
901,9,M,1976,BS,Nursing,500,1
902,2,M,1980,MED,General Education,50,1
903,13,F,1990,MED,General Education,1e3,1
904,8,F,1996,BBA,Business General,300,1
905,4,M,1981,BS,Computer Science,150,1
906,7,M,1980,BBA,Business General,500,1
907,4,F,1976,BS,Public Administration,25,1
908,6,M,1978,BBA,Marketing,50,1
909,34,F,1980,BS,Special Education,500,1
910,36,F,1995,MSN,Nursing,50,1
911,8,F,1987,BS,Physical Therapy,150,1
912,19,F,1980,BS,Art,1e3,1
913,14,M,1976,BS,Physical Education,50,1
914,35,M,1982,BBA,Finance,14e3,1
915,10,F,1980,BS,Geology,100,1
916,10,F,1993,MED,General Education,100,1
917,12,M,1982,BS,Physical Education,150,1
918,57,M,1983,BS,Art,10,1
919,8,F,2003,MPA,Public Administration,500,1
920,4,M,1980,BBA,Management,200,1
921,6,F,1992,MED,Reading,100,1
922,7,M,1983,BA,German,100,1
923,6,M,1993,BBA,Accounting,50,1
924,4,M,1998,MSW,Social Work,300,1
925,19,F,1992,MBA,Business General,100,1
926,8,M,2002,MED,General Education,150,1
927,5,F,1996,MPA,Public Administration,20,1
928,9,F,1996,MS,Physical Therapy,50,1
929,3,M,1999,MED,General Education,50,1
930,8,F,1995,BA,Psychology,30,1
931,75,M,2002,BBA,Marketing,1650,1
932,13,M,2007,BA,Philosophy,25,1
933,8,F,2001,BBA,Management,50,1
934,3,F,2003,BS,Health Science,50,1
935,12,M,2001,BBA,Marketing,2500,1
936,5,F,2002,BS,Biomedical Sciences,250,1
937,15,M,2003,BS,Physical Education,300,1
938,13,M,2001,BBA,Finance,100,1
939,9,F,2000,BS,Therapeutic Recreation,50,1
940,8,F,1979,BS,Nursing,300,1
941,13,F,1991,BBA,Marketing,300,1
942,1,M,1977,BS,Geology,500,1
943,29,F,1991,MED,Reading,680,1
944,24,M,1979,BS,Criminal Justice,300,1
945,4,M,1977,MED,Special Education,50,1
946,51,M,1980,BS,Therapeutic Recreation,1200,1
947,3,F,1982,BS,Geology,50,1
948,9,M,1979,BS,Group SS Soc,100,1
949,9,F,1979,BS,Nursing,300,1
950,63,M,1992,BS,Criminal Justice,2025,1
951,7,F,1978,BS,Biology,1e3,1
952,6,F,1978,BBA,Marketing,500,1
953,27,M,1980,BBA,Finance,17e3,1
954,41,M,1985,MPA,Public Administration,500,1
955,1,M,1996,MED,General Education,100,1
956,3,M,1993,BA,Spanish,100,1
957,13,F,1994,BBA,Accounting,500,1
958,28,F,1991,BS,Therapeutic Recreation,150,1
959,9,M,1993,BS,Criminal Justice,50,1
960,2,F,1988,BS,Occup Safety/Health Management,1500,1
961,9,F,2001,MED,General Education,25,1
962,11,F,2001,MSN,Nursing,250,1
963,12,M,1996,MBA,Business General,800,1
964,8,F,1986,BA,Spanish,50,1
965,25,F,2001,MPA,Public Administration,50,1
966,18,M,1992,BS,Anthropology,1996,1
967,4,F,1989,BS,Biomedical Sciences,80,1
968,15,M,2004,BBA,Management,410,1
969,4,F,1996,BS,Physical Education,100,1
970,10,F,1992,BSN,Nursing,500,1
971,9,F,1996,BS,Geology,200,1
972,5,F,1998,BBA,Finance,300,1
973,6,F,1994,MED,General Education,100,1
974,11,M,1998,BBA,Finance,150,1
975,2,M,1989,BS,Biomedical Sciences,1e4,1
976,15,M,1998,BS,Advertising & Public Relations,150,1
977,8,F,1998,BS,Chemistry,40,1
978,15,M,1999,BBA,Management,500,1
979,4,F,1997,BS,Physical Education,500,1
980,11,M,2003,BS,GRO Social Studies,50,1
981,9,M,2003,MBA,Business General,50,1
982,10,M,2001,MED,Special Education,150,1
983,6,F,1977,MSW,Social Work,200,1
984,9,M,1982,MBA,Accounting,500,1
985,7,F,1982,BS,Special Education,25,1
986,8,M,1978,BA,Music,15,1
987,7,F,1972,BS,History,130,1
988,3,M,1978,BS,Biology,3500,1
989,10,F,1976,BS,Psychology,450,1
990,16,F,1989,DNP,Nursing,2500,1
991,12,F,2002,MSN,Nursing,125,1
992,7,F,1997,MSN,Nursing,25,1
993,11,F,1994,MSN,Nursing,100,1
994,109,M,2009,MS,Communications,440,1
995,9,M,1992,BBA,Management,100,1
996,30,M,1985,BBA,Marketing,2e3,1
997,16,F,1992,BBA,Management,200,1
998,7,M,1988,BS,Criminal Justice,8.53,1
999,9,M,1979,BA,Environmental Studies,200,1
1000,17,F,1988,BBA,Accounting,930,1
1001,20,M,1980,BS,Biology,825,1
1002,1,F,2007,MED,General Education,100,1
1003,18,F,1989,BA,Broadcasting,500,1
1004,11,M,1995,BBA,Accounting,1e3,1
1005,8,M,1981,BBA,Accounting,50,1
1006,10,F,1991,MST,Taxation,100,1
1007,26,F,2002,DNP,Nursing,8,1
1008,1,F,2002,BA,GRO Social Studies,50,1
1009,1,M,1995,MED,General Education,100,1
1010,17,F,1999,BS,Political Science,50,1
1011,6,F,2008,MED,General Education,150,1
1012,3,F,1998,MSW,Social Work,50,1
1013,7,M,1987,BBA,Facilities Management,25,1
1014,13,F,2001,BS,Advertising & Public Relations,700,1
1015,10,M,2005,MED,School Counseling,300,1
1016,10,M,1990,BS,Biology,50,1
1017,3,F,2002,MED,General Education,50,1
1018,4,F,1998,BS,Physical Education,75,1
1019,4,F,1991,BBA,Finance,20,1
1020,7,M,1995,BS,GRO Soc Science,100,1
1021,13,M,1997,BBA,Marketing,3e3,1
1022,53,F,1999,BA,Psychology,25,1
1023,3,F,1992,BBA,Business General,50,1
1024,5,M,2005,BBA,Marketing,50,1
1025,6,F,2014,MED,Higher Education,25,1
1026,28,M,1998,BS,Film and Video,25,1
1027,6,F,1996,BBA,Accounting,25,1
1028,48,F,2003,MBA,Business General,500,1
1029,17,F,2000,MED,Special Education,1e3,1
1030,8,F,1998,MED,Reading,35,1
1031,2,M,2000,BS,Health Science,100,1
1032,4,F,2002,BA,Communications,10,1
1033,7,F,1993,BSN,Nursing,25,1
1034,2,F,1981,MED,General Education,50,1
1035,9,F,1980,BBA,Accounting,50,1
1036,8,F,1996,BS,Information Systems,1e3,1
1037,14,M,1987,BAS,Technology Management,100,1
1038,83,F,1968,BS,Group Science,1e3,1
1039,13,M,1997,MBA,Business General,50,1
1040,9,M,1987,BS,Computer Science,400,1
1041,24,M,1978,BS,Physical Education,300,1
1042,8,M,1987,BS,Computer Science,10,1
1043,7,M,1980,BS,Art,20,1
1044,1,M,1981,BBA,Accounting,100,1
1045,12,M,1976,BBA,Business General,100,1
1046,8,F,1989,BME,Music,100,1
1047,8,F,1978,BS,Special Education,200,1
1048,7,F,1975,BPH,Environmental Studies,150,1
1049,49,M,2002,MBA,Business General,100,1
1050,9,F,1991,BS,Physical Therapy,50,1
1051,38,M,1981,BBA,Marketing,500,1
1052,11,F,1978,BS,Economics,50,1
1053,13,M,1983,MBA,Business General,650,1
1054,54,M,1984,MSW,School Social Work,500,1
1055,17,F,2003,DNP,Nursing,378,1
1056,2,M,1995,MS,Physical Therapy,25,1
1057,1,M,1982,BBA,Marketing,100,1
1058,2,M,1987,BS,Chemistry,50,1
1059,4,F,1998,MED,General Education,50,1
1060,10,F,1982,BSN,Nursing,80,1
1061,6,M,1994,BBA,Accounting,150,1
1062,7,F,1990,BS,Economics,25,1
1063,10,M,1995,BBA,Accounting,50,1
1064,9,M,1992,BSN,Nursing,100,1
1065,6,F,1985,BA,Psychology,50,1
1066,7,M,1994,MBA,Business General,100,1
1067,1,M,1996,MBA,Business General,100,1
1068,3,F,1984,BBA,Marketing,50,1
1069,5,F,1986,BS,Physical Therapy,50,1
1070,11,F,1989,BS,Health Science,500,1
1071,2,F,1989,BSN,Nursing,100,1
1072,5,M,1997,MS,Computer Information Systems,250,1
1073,10,F,1986,BBA,Accounting,300,1
1074,15,F,1987,BS,Criminal Justice,75,1
1075,7,F,1989,BS,Physical Therapy,75,1
1076,2,M,2003,BSN,Nursing,50,1
1077,9,M,1987,BBA,Accounting,250,1
1078,8,M,1993,BBA,Finance,125,1
1079,8,M,1993,BS,Mathematics,200,1
1080,19,M,1992,BBA,Finance,300,1
1081,34,F,2001,MPA,Public Administration,75,1
1082,6,F,1998,MED,Reading,250,1
1083,5,F,1989,BA,Psychology,60,1
1084,11,F,1994,MED,General Education,300,1
1085,9,M,1993,BBA,Management,150,1
1086,8,F,2000,BBA,Accounting,150,1
1087,13,F,1997,BS,Biomedical Sciences,230,1
1088,2,M,2003,BS,Computer Science,10,1
1089,8,F,2002,MPA,Public Administration,50,1
1090,22,M,2005,BBA,Finance,150,1
1091,8,M,1997,MBA,Business General,100,1
1092,9,F,1975,MED,Special Education,100,1
1093,5,M,1977,BS,Environmental Studies,10,1
1094,10,F,1975,BSN,Nursing,100,1
1095,2,M,1994,BBA,Business General,150,1
1096,13,F,1999,MED,General Education,50,1
1097,7,F,1992,BBA,Management,150,1
1098,4,M,1979,BBA,Business General,75,1
1099,5,F,1991,BSN,Nursing,10,1
1100,9,F,1985,MED,Reading,100,1
1101,14,M,1982,BS,Biology,400,1
1102,11,F,1994,MS,Physical Therapy,100,1
1103,8,M,1989,BS,Computer Science,200,1
1104,4,F,1997,MSW,Social Work,20,1
1105,7,F,1980,BS,Chemistry,2e3,1
1106,6,M,1985,BS,Computer Science,50,1
1107,3,M,1989,MSN,Nursing,100,1
1108,4,F,1985,BS,Computer Science,25,1
1109,9,F,1979,BS,Natural Resource Management,100,1
1110,3,M,1997,BS,Therapeutic Recreation,300,1
1111,24,M,1987,MED,General Education,100,1
1112,1,F,2000,BBA,Management,25,1
1113,1,F,1990,MED,Reading,50,1
1114,13,M,1998,BS,Physical Education,300,1
1115,9,F,1996,MS,Occupational Therapy,50,1
1116,4,F,1986,BS,Journalism,25,1
1117,19,M,1997,MS,Physical Therapy,100,1
1118,3,F,2000,MSW,Social Work,100,1
1119,11,M,1997,BBA,Finance,100,1
1120,9,F,1997,MPA,Public Administration,150,1
1121,9,F,1997,MED,Special Education,150,1
1122,55,M,2001,BBA,Management,25,1
1123,6,F,2000,BBA,Management,1e3,1
1124,16,M,1994,BBA,Management,50,1
1125,4,F,2003,BS,Biomedical Sciences,100,1
1126,14,F,2003,MED,General Education,95,1
1127,14,M,2002,BFA,Art,700,1
1128,17,M,1999,BS,Mathematics,100,1
1129,10,M,2003,BBA,Finance,50,1
1130,53,F,2000,MST,Taxation,250,1
1131,6,M,1979,BPH,Social Services,10,1
1132,32,F,1978,MED,Reading,300,1
1133,9,F,1993,BSN,Nursing - RN,30,1
1134,8,M,1978,BBA,Business General,300,1
1135,7,M,1980,MBA,Management,30,1
1136,7,M,1977,BS,Social Relations,30,1
1137,6,M,1980,BBA,Finance,300,1
1138,13,M,1978,BBA,Business General,300,1
1139,5,F,1977,BS,Biopsychology,300,1
1140,6,M,1980,BS,Mathematics,5,1
1141,9,F,1981,BS,Biology,100,1
1142,8,M,1978,BS,Chemistry,150,1
1143,11,M,1993,BS,Computer Science,1e3,1
1144,16,M,1990,MBA,Accounting,100,1
1145,8,M,1998,MED,General Education,70,1
1146,5,M,1980,BS,Physical Education,100,1
1147,20,F,1994,BS,Advertising & Public Relations,250,1
1148,12,M,1988,BS,Physical Education,300,1
1149,4,M,2001,BS,Group Science,50,1
1150,9,F,1993,BS,Photography,10,1
1151,18,M,1995,MBA,Marketing,950,1
1152,6,F,1980,BBA,Accounting,50,1
1153,11,M,1982,BS,Criminal Justice,350,1
1154,12,F,1981,MSN,Nursing,25,1
1155,13,M,1987,BS,Broadcasting,1e3,1
1156,14,M,1981,BBA,Accounting,50,1
1157,27,F,1981,MSN,Nursing,17e3,1
1158,4,M,1997,BBA,Marketing,25,1
1159,5,M,1998,BBA,Accounting,50,1
1160,9,F,1988,BS,Health Science,100,1
1161,8,F,1997,MS,Physical Therapy,600,1
1162,4,F,1982,BS,Physical Education,50,1
1163,15,M,1990,BBA,Management,1e3,1
1164,4,M,1992,BBA,Management,300,1
1165,12,F,1986,BBA,Business General,500,1
1166,6,M,1990,BBA,Marketing,80,1
1167,10,F,1991,BS,Film and Video,200,1
1168,12,M,1991,BA,International Relations,100,1
1169,4,F,2002,BSE,Engineering,50,1
1170,11,F,2001,BBA,International Business,500,1
1171,13,M,2003,BBA,Accounting,700,1
1172,14,M,2001,BS,Mathematics,50,1
1173,2,F,1998,MS,Criminal Justice,45,1
1174,8,M,2007,BS,Computer Science,100,1
1175,10,F,1994,MBA,Business General,100,1
1176,18,M,1995,BS,Film and Video,165,1
1177,10,F,1997,BS,Mathematics,100,1
1178,9,F,1996,BS,Psychology,5,1
1179,9,F,2008,BS,Psychology,21,1
1180,5,M,2002,BS,Biomedical Sciences,1e3,1
1181,3,F,2001,BS,GRO Social Studies,5,1
1182,79,F,1997,MPA,Public Administration,65.95,1
1183,2,M,1995,BS,Health Science,339.2,1
1184,6,M,1996,BBA,Accounting,50,1
1185,2,F,2000,BS,Psychology,50,1
1186,2,F,1998,BA,English Language and Literature,20,1
1187,13,M,2007,BA,Political Science,100,1
1188,18,F,2000,BS,Mathematics,150,1
1189,12,M,1995,BS,Biology,300,1
1190,7,F,1998,BS,Hospitality Tourism Mgt,25,1
1191,4,F,2000,BS,Sociology,238,1
1192,6,F,2002,BSN,Nursing,476.67,1
1193,9,M,1997,MBA,Business General,300,1
1194,34,M,2000,BBA,Management,25,1
1195,8,F,2000,BA,Advertising & Public Relations,25,1
1196,3,F,2001,BBA,Business General,80,1
1197,8,F,2002,BSN,Nursing - RN,5,1
1198,4,F,1995,MHS,Health Science,50,1
1199,20,F,1976,BBA,Business General,100,1
1200,8,F,1978,BS,Social Relations,30,1
1201,7,M,1989,BS,Biology,160,1
1202,7,F,1986,BS,Mathematics,25,1
1203,9,M,1981,BS,Hospitality Tourism Mgt,50,1
1204,23,M,1981,BBA,Business General,250,1
1205,9,M,1979,BBA,Accounting,300,1
1206,27,M,1993,BBA,Finance,125,1
1207,3,M,1997,BS,Psychology,5,1
1208,1,M,1991,MED,General Education,50,1
1209,8,M,2001,MSW,Social Work,50,1
1210,4,F,1999,BA,Spanish,25,1
1211,5,M,1999,MED,General Education,50,1
1212,5,M,1985,BBA,Facilities Management,1e3,1
1213,5,M,1992,MBA,Business General,25,1
1214,4,F,1987,BSN,Nursing,100,1
1215,17,M,1984,BBA,Finance,1450,1
1216,4,M,1987,BS,Engineering Science,50,1
1217,25,M,1988,BBA,Business General,300,1
1218,5,F,1999,BS,Health Science,238.34,1
1219,11,F,2003,BS,Psychology,100,1
1220,10,F,1997,BA,History,50,1
1221,9,M,2002,BS,Mathematics,100,1
1222,5,M,2002,BA,Broadcasting,100,1
1223,10,M,1991,MS,Computer Information Systems,500,1
1224,24,M,1998,BS,Hospitality Tourism Mgt,25,1
1225,3,F,1998,BBA,Finance,50,1
1226,11,F,2004,BSN,Nursing,100,1
1227,10,F,1991,BBA,Facilities Management,100,1
1228,6,F,1994,MED,Special Education,25,1
1229,9,M,2002,BS,Mathematics,100,1
1230,4,F,2001,BS,Sociology,25,1
1231,9,M,2001,BBA,Accounting,100,1
1232,2,F,1997,BS,Advertising & Public Relations,100,1
1233,19,M,1999,BBA,Accounting,500,1
1234,23,M,2001,BBA,Accounting,400,1
1235,13,M,2002,BS,Public Administration,500,1
1236,7,M,1986,BS,Health Science,50089.8,1
1237,15,F,1978,BS,Mathematics,500,1
1238,4,M,1986,MED,General Education,100,1
1239,8,F,1985,BS,Language Arts,100,1
1240,17,M,1986,BS,Public Administration,300,1
1241,23,M,1999,MPA,Public Administration,20,1
1242,8,M,1991,BBA,Management,200,1
1243,22,M,1977,MS,Computer Information Systems,500,1
1244,11,M,1979,BBA,Management,1e4,1
1245,8,F,1986,BBA,Accounting,100,1
1246,10,M,1988,BS,Advertising & Public Relations,500,1
1247,12,M,1995,BS,Geology,300,1
1248,29,M,1978,BS,Criminal Justice,1050,1
1249,12,F,1988,BSN,Nursing,100,1
